Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1596.1542
FDW14,OUT017,1527.5743
NCN55,OUT010,632.82794
FDQ58,OUT017,2438.9333
FDY38,OUT027,5812.9404
FDH56,OUT046,1928.2583
FDL48,OUT018,518.1859
FDC48,OUT027,1885.5016
FDN33,OUT045,1328.2524
FDA36,OUT017,3267.196
FDT44,OUT017,1755.8525
FDQ56,OUT045,1428.0526
NCC54,OUT019,670.7661
FDU11,OUT049,2335.322
DRL59,OUT013,761.0285
FDM24,OUT049,2729.4163
FDI57,OUT045,3222.1912
DRC12,OUT018,3251.7595
NCM42,OUT027,2838.5515
FDA46,OUT010,707.1798
FDA31,OUT013,2655.0369
NCJ31,OUT035,3945.4456
FDG52,OUT046,798.9145
NCL19,OUT019,397.62045
FDS10,OUT035,3158.4612
FDX22,OUT010,580.7629
NCF19,OUT035,702.1259
NCE06,OUT046,2216.34
DRC27,OUT046,3432.3137
FDE21,OUT035,2577.0542
NCR42,OUT019,30.419033
FDX51,OUT018,2316.2512
NCR06,OUT018,508.0605
FDU31,OUT027,4379.9614
FDU59,OUT017,2392.4014
FDR03,OUT027,5792.9097
FDS49,OUT027,2446.0356
FDD48,OUT010,499.69653
NCF18,OUT017,3814.6404
NCD43,OUT027,1866.3809
NCD54,OUT018,2110.234
FDY19,OUT010,-62.42758
NCY54,OUT017,2094.1738
NCL19,OUT018,1524.2977
FDP23,OUT010,387.53314
FDC26,OUT013,1556.2384
FDR14,OUT010,136.56502
NCS41,OUT035,3252.9248
FDF41,OUT035,3342.0308
FDU34,OUT046,1919.2366
DRH11,OUT046,834.3221
FDM03,OUT013,1979.1545
FDS31,OUT017,3126.9575
FDJ20,OUT017,1788.952
FDV44,OUT027,3976.7292
FDG02,OUT049,3558.7742
FDA09,OUT013,3366.1575
FDT04,OUT013,804.9768
FDL58,OUT019,-28.060266
FDE52,OUT045,1370.4663
FDW12,OUT035,3103.9011
FDL51,OUT017,3107.5637
NCY42,OUT027,3118.8408
FDR07,OUT017,1118.624
FDN40,OUT045,2604.3372
FDB35,OUT027,2657.6482
FDA22,OUT017,3066.1924
NCL06,OUT046,5876.095
FDI35,OUT013,3836.2634
NCW42,OUT045,3974.2568
NCX06,OUT049,3460.3164
FDC37,OUT027,2842.0195
FDZ14,OUT018,1163.484
DRG49,OUT049,7303.5146
NCG06,OUT045,3692.2146
DRC36,OUT045,2902.6384
FDV21,OUT019,349.76163
FDB53,OUT046,2398.531
DRP47,OUT019,-220.59554
FDA14,OUT013,2404.991
DRC24,OUT035,2377.8948
FDW21,OUT018,1974.8905
NCH29,OUT046,2053.667
FDU58,OUT013,3658.6704
FDY27,OUT017,2180.7393
FDV56,OUT035,1570.6545
FDT59,OUT046,4196.6895
FDB23,OUT046,3820.354
FDR49,OUT045,882.85754
FDB03,OUT010,356.5006
FDN39,OUT045,2905.599
FDX02,OUT027,6243.2524
FDQ16,OUT027,2817.643
FDU35,OUT018,1548.3241
NCT29,OUT013,1471.8889
FDZ27,OUT046,673.56134
FDN57,OUT017,2013.6997
FDA03,OUT018,1929.79
FDZ36,OUT045,3345.6943
NCU05,OUT013,1013.57495
FDT39,OUT018,2004.2201
FDK60,OUT017,1657.7703
FDZ25,OUT017,3350.6682
FDG12,OUT046,2266.9683
DRB01,OUT019,465.70822
NCC43,OUT027,6271.3447
FDX13,OUT019,804.0653
FDM22,OUT049,1015.7768
FDJ03,OUT027,1481.7496
FDU14,OUT018,4935.786
FDB33,OUT010,404.19202
FDP27,OUT046,2990.61
FDO38,OUT010,193.08255
FDE28,OUT027,5803.7754
FDO27,OUT035,2034.0325
DRL23,OUT027,2104.8723
FDS28,OUT046,790.7768
FDX24,OUT013,1456.5625
FDZ02,OUT035,1669.888
FDL46,OUT045,1252.5071
FDS60,OUT027,3582.3635
NCO06,OUT017,422.55716
FDO16,OUT035,1726.9435
FDC60,OUT049,1861.6407
FDA48,OUT018,2658.8074
FDZ36,OUT027,5622.403
FDK27,OUT045,1952.0527
FDW23,OUT018,608.29944
FDM14,OUT018,1612.5541
FDM14,OUT013,1529.2952
FDW60,OUT018,1687.727
FDE21,OUT013,1764.0308
